"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Machine-op-inspct
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Tech-support
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Exec-managerial
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Machine-op-inspct
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Prof-specialty
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Handlers-cleaners
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Exec-managerial
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Prof-specialty
"[15.0,20.0)",Female,*,*,Adm-clerical
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
"[15.0,20.0)",Female,*,*,Other-service
"[15.0,20.0)",Female,*,*,Sales
