"[39,39]","[12,13]",Adm-clerical
"[50,50]","[12,13]",Exec-managerial
"[38,38]","[8,9]",Handlers-cleaners
"[53,53]","[6,7]",Handlers-cleaners
"[28,28]","[12,13]",Prof-specialty
"[36,37]","[14,16]",Exec-managerial
"[49,49]","[4,5]",Other-service
"[52,52]","[7,9]",Exec-managerial
"[30,31]","[14,16]",Prof-specialty
"[42,42]","[12,13]",Exec-managerial
"[37,37]","[10,10]",Exec-managerial
"[30,30]","[12,13]",Prof-specialty
"[23,23]","[12,13]",Adm-clerical
"[32,32]","[11,12]",Sales
"[34,34]","[1,4]",Transport-moving
"[25,25]","[9,9]",Farming-fishing
"[32,32]","[8,9]",Machine-op-inspct
"[38,38]","[6,7]",Sales
"[42,43]","[14,16]",Exec-managerial
"[40,40]","[16,16]",Prof-specialty
"[54,54]","[8,9]",Other-service
"[35,35]","[2,5]",Farming-fishing
"[43,43]","[7,9]",Transport-moving
"[59,59]","[7,9]",Tech-support
"[56,56]","[11,13]",Tech-support
"[19,19]","[9,9]",Craft-repair
"[39,39]","[8,9]",Exec-managerial
"[49,49]","[7,9]",Craft-repair
"[23,23]","[11,12]",Protective-serv
"[20,20]","[10,10]",Sales
"[44,45]","[13,13]",Exec-managerial
"[30,30]","[10,10]",Adm-clerical
"[21,22]","[10,10]",Other-service
"[48,48]","[7,7]",Machine-op-inspct
"[21,21]","[10,10]",Machine-op-inspct
"[19,19]","[9,9]",Adm-clerical
"[48,48]","[11,12]",Prof-specialty
"[31,31]","[5,5]",Machine-op-inspct
"[53,53]","[12,13]",Prof-specialty
"[24,24]","[12,13]",Tech-support
"[49,49]","[7,9]",Adm-clerical
"[25,25]","[9,9]",Handlers-cleaners
"[57,57]","[12,13]",Prof-specialty
"[53,53]","[8,9]",Machine-op-inspct
"[44,44]","[14,14]",Exec-managerial
"[41,41]","[11,11]",Craft-repair
"[29,29]","[11,11]",Prof-specialty
"[25,25]","[10,10]",Exec-managerial
"[47,47]","[14,15]",Prof-specialty
"[50,50]","[12,13]",Exec-managerial
"[47,47]","[7,9]",Exec-managerial
"[43,43]","[10,10]",Tech-support
"[46,46]","[2,4]",Machine-op-inspct
"[35,35]","[11,11]",Other-service
"[41,41]","[8,9]",Adm-clerical
"[30,30]","[8,9]",Machine-op-inspct
"[30,30]","[12,13]",Sales
"[48,48]","[7,9]",Transport-moving
"[42,42]","[16,16]",Prof-specialty
"[28,29]","[10,10]",Tech-support
"[36,36]","[8,9]",Craft-repair
"[28,28]","[10,10]",Adm-clerical
"[53,53]","[8,9]",Adm-clerical
"[49,49]","[10,10]",Exec-managerial
"[18,19]","[10,10]",Prof-specialty
"[30,31]","[13,13]",Sales
"[29,29]","[12,13]",Sales
"[23,23]","[10,10]",Machine-op-inspct
"[77,80]","[10,10]",Prof-specialty
"[27,27]","[8,9]",Other-service
"[40,40]","[11,12]",Adm-clerical
"[18,18]","[6,7]",Other-service
"[31,31]","[1,4]",Farming-fishing
"[18,18]","[8,9]",Sales
"[52,52]","[13,13]",Other-service
"[46,46]","[7,9]",Other-service
"[59,59]","[7,9]",Sales
"[44,44]","[8,9]",Craft-repair
"[53,53]","[8,9]",Sales
"[49,49]","[7,9]",Protective-serv
"[32,33]","[14,16]",Prof-specialty
"[30,30]","[4,5]",Sales
"[43,43]","[15,16]",Prof-specialty
"[56,57]","[11,13]",Prof-specialty
"[37,37]","[10,10]",Craft-repair
"[28,28]","[10,10]",Machine-op-inspct
"[34,34]","[12,13]",Protective-serv
"[28,29]","[10,10]",Handlers-cleaners
"[48,48]","[16,16]",Prof-specialty
"[37,37]","[10,10]",Sales
"[48,48]","[11,12]",Exec-managerial
"[32,32]","[8,9]",Other-service
"[76,90]","[14,15]",Exec-managerial
"[44,44]","[13,13]",Exec-managerial
"[46,47]","[14,16]",Prof-specialty
"[20,20]","[10,10]",Tech-support
"[29,29]","[9,9]",Craft-repair
"[32,32]","[8,9]",Craft-repair
"[30,30]","[6,7]",Handlers-cleaners
"[31,31]","[8,9]",Adm-clerical
"[42,42]","[7,9]",Handlers-cleaners
"[24,24]","[12,13]",Sales
"[38,38]","[14,15]",Prof-specialty
"[56,56]","[9,9]",Other-service
"[28,28]","[10,10]",Sales
"[36,36]","[8,9]",Machine-op-inspct
"[53,53]","[4,6]",Handlers-cleaners
"[55,56]","[10,10]",Sales
"[48,49]","[11,13]",Craft-repair
"[54,55]","[10,10]",Sales
"[22,22]","[9,9]",Craft-repair
"[21,21]","[10,10]",Other-service
"[40,40]","[12,13]",Exec-managerial
"[30,30]","[12,13]",Exec-managerial
"[29,29]","[12,13]",Prof-specialty
"[19,19]","[10,10]",Other-service
"[47,47]","[12,13]",Exec-managerial
"[20,20]","[10,10]",Adm-clerical
"[31,31]","[11,12]",Adm-clerical
"[38,39]","[10,10]",Craft-repair
"[28,28]","[11,12]",Sales
"[23,24]","[9,9]",Other-service
"[38,38]","[8,9]",Craft-repair
"[36,37]","[13,13]",Sales
"[46,46]","[11,12]",Tech-support
"[37,38]","[14,16]",Prof-specialty
"[43,43]","[7,9]",Craft-repair
"[27,27]","[11,11]",Adm-clerical
"[20,20]","[10,10]",Sales
"[49,49]","[10,10]",Craft-repair
"[61,61]","[7,9]",Craft-repair
"[27,27]","[10,10]",Sales
"[19,19]","[10,10]",Other-service
"[45,45]","[11,11]",Prof-specialty
"[70,70]","[10,10]",Tech-support
"[31,31]","[8,9]",Transport-moving
"[21,22]","[10,10]",Other-service
"[36,36]","[8,9]",Other-service
"[64,64]","[6,9]",Craft-repair
"[47,47]","[10,10]",Adm-clerical
"[34,34]","[7,9]",Adm-clerical
"[33,33]","[13,13]",Exec-managerial
"[21,21]","[8,9]",Craft-repair
"[48,48]","[7,9]",Craft-repair
"[23,23]","[12,13]",Handlers-cleaners
"[71,72]","[10,10]",Sales
"[29,29]","[9,9]",Craft-repair
"[42,42]","[12,13]",Other-service
"[25,25]","[9,9]",Other-service
"[44,44]","[14,14]",Exec-managerial
"[28,28]","[9,9]",Exec-managerial
"[44,45]","[14,16]",Sales
"[35,36]","[10,10]",Other-service
"[39,39]","[11,12]",Exec-managerial
"[45,46]","[14,16]",Protective-serv
"[18,18]","[6,7]",Handlers-cleaners
"[65,66]","[11,13]",Prof-specialty
"[27,27]","[8,9]",Other-service
